feature,lower_cap,upper_cap,train_outlier_count,train_outlier_percent
MACD,-12.868041750000001,13.86448625,409,0.05113778444611153
Volume,-143364.625,1080646.375,307,0.03838459614903726
BB_Width,-0.008410874999999991,0.17324812499999998,184,0.023005751437859465
Close,-7.366762499999993,829.3727375,103,0.012878219554888722
BB_Upper,-7.56851249999994,868.6187874999999,100,0.012503125781445362
SMA_20,-3.862950000000012,826.37525,94,0.011752938234558639
SMA_5,-4.901299999999878,825.9496999999998,91,0.01137784446111528
Open,-5.538962500000139,826.6437375000002,91,0.01137784446111528
EMA_12,-4.443474999999978,827.281925,91,0.01137784446111528
Lag1_Close,-5.538962500000139,826.6437375000002,91,0.01137784446111528
High,-4.509112499999901,831.2731875,91,0.01137784446111528
EMA_26,-5.3477125,829.3943875,91,0.01137784446111528
Low,-5.329075000000046,820.645925,91,0.01137784446111528
BB_Lower,-12.011412500000006,798.2622875,78,0.009752438109527382
Return_1d,-0.033788875,0.034272125,65,0.008127031757939485
Return_5d,-0.07372725,0.07545075,64,0.008002000500125032
Return_2d,-0.047601375,0.048633625,63,0.007876969242310577
Volatility_20d,0.006994375000000001,0.018039375,54,0.006751687921980495
Volatility_5d,3.762499999999773e-05,0.023616625000000002,53,0.0066266566641660415
RSI_14,5.6358749999999915,96.26047500000001,20,0.002500625156289072
