feature,mutual_information_with_Target_Return
Close,0.020935617412748186
Low,0.016965077813886786
EMA_12,0.00900010640228377
High,0.00854193729123498
SMA_5,0.006889703592397822
Return_5d,0.004573387869706735
BB_Upper,0.004302174219114718
MACD,0.003997311788171309
EMA_26,0.0037479919716032484
BB_Width,0.001335099639488746
SMA_20,0.0007045484070484775
RSI_14,0.00043387555937446365
Return_1d,0.00036785634011149426
Volatility_20d,0.0
Open,0.0
Lag1_Close,0.0
BB_Lower,0.0
Volume,0.0
Return_2d,0.0
Volatility_5d,0.0
